Age (Ma),Atlantic,Pacific,Gradient
12.6,4.13061224489796,7.232857142857141,3.1022448979591815
12.9,2.8975000000000026,9.40142857142857,6.503928571428567
13.2,3.0350000000000015,9.7,6.664999999999997
13.5,2.89,8.012,5.122
13.799999999999999,3.354583333333332,5.191999999999996,1.8374166666666638
14.1,3.8191666666666664,4.883333333333342,1.0641666666666754
14.399999999999999,4.283749999999999,4.915999999999991,0.632249999999992
14.7,4.748333333333333,5.779310344827588,1.0309770114942554
15.0,5.445,5.29,-0.15500000000000025
15.299999999999999,4.991272727272727,5.544,0.5527272727272727
15.6,5.149454545454546,9.282727272727264,4.133272727272718
15.899999999999999,4.667272727272734,5.452857142857146,0.7855844155844123
16.2,3.6882758620689655,5.403076923076925,1.7148010610079591
16.5,3.886363636363636,5.056666666666669,1.1703030303030335
16.8,4.84,5.3725000000000005,0.5325000000000006
17.099999999999998,5.336999999999987,5.069473684210527,-0.2675263157894605
17.4,6.814999999999969,5.566,-1.2489999999999695
17.7,7.327999999999997,6.1194117647058786,-1.2085882352941182
18.0,8.033000000000001,6.603529411764709,-1.4294705882352918
18.3,7.637777777777752,6.215294117647057,-1.4224836601306956
18.599999999999998,7.940000000000001,7.468507462686557,-0.471492537313444
18.9,7.594444444444436,8.789402985074616,1.1949585406301804
19.2,8.18,12.238749999999943,4.058749999999943
19.5,7.802222222222226,12.691428571428576,4.88920634920635
19.8,8.413076923076927,11.330714285714285,2.9176373626373575
20.099999999999998,8.329999999999997,14.918260869565216,6.58826086956522
20.4,7.700000000000002,15.1196,7.419599999999998
20.7,7.039148936170212,13.99,6.950851063829788
21.0,6.518000000000004,14.340769230769228,7.822769230769223
21.3,7.800000000000008,14.032222222222224,6.232222222222216
21.599999999999998,8.201449275362318,13.144999999999996,4.943550724637678
21.9,8.257971014492753,13.655,5.397028985507246
22.2,8.294262295081966,13.656666666666666,5.3624043715847005
22.5,8.304098360655738,14.79,6.485901639344261
22.8,,,
23.099999999999998,,,
23.4,,,
23.7,,,
24.0,,,
24.3,,,
24.599999999999998,,,
24.9,,,
25.2,,,
25.5,,,
25.8,,,
26.099999999999998,,,
26.4,,,
26.7,,,
27.0,,,
27.3,,,
27.599999999999998,,,
27.9,,,
28.2,,,
28.5,,,
28.799999999999997,,,
29.099999999999998,,,
29.4,,,
29.7,,,
30.0,,,
30.299999999999997,,,
30.599999999999998,,,
30.9,,,
31.2,,,
31.5,,,
31.799999999999997,,,
32.1,,,
32.4,,,
32.699999999999996,,,
33.0,,,
33.3,,,
33.6,,,
33.9,,,
34.199999999999996,,,
34.5,,,
34.8,,,
35.1,,,
35.4,,,
35.699999999999996,,,
36.0,,,
36.3,,,
36.6,,,
36.9,,,
37.199999999999996,,,
37.5,,,
37.8,,,
38.1,,,
38.4,,,
38.699999999999996,,,
39.0,,,
39.3,,,
39.6,,,
39.9,,,
40.199999999999996,3.154705882352915,4.333599999999998,1.1788941176470829
40.5,3.4524999999999926,4.694000000000037,1.2415000000000447
40.8,3.49,2.8303928571428574,-0.6596071428571428
41.1,3.798461538461523,2.8314642857142855,-0.9669972527472375
41.4,4.029499999999992,2.832535714285714,-1.1969642857142775
41.699999999999996,4.141578947368441,2.8336071428571428,-1.3079718045112978
42.0,2.7459999999999907,2.8346785714285714,0.08867857142858071
42.3,2.799999999999983,2.83575,0.035750000000017046
42.6,2.2706060606060676,2.8368214285714286,0.566215367965361
42.9,2.8168181818181792,2.837892857142857,0.021074675324677994
43.199999999999996,2.9641666666666606,2.8389642857142854,-0.12520238095237524
43.5,3.156153846153845,2.8369230769230773,-0.31923076923076765
43.8,3.2600000000000033,2.7446153846153862,-0.5153846153846171
44.1,3.0947368421052626,2.652307692307693,-0.44242914979756964
44.4,2.5999999999999943,2.582156862745099,-0.017843137254895503
44.699999999999996,4.6071428571428354,2.5409803921568637,-2.066162464985972
45.0,3.6200000000000028,2.4998039215686276,-1.1201960784313751
45.3,3.942142857142841,2.46046875,-1.4816741071428412
45.6,4.18,2.47453125,-1.7054687499999996
45.9,3.76,2.48859375,-1.2714062499999996
46.199999999999996,4.118620689655167,2.39704918032787,-1.7215715093272967
46.5,4.4772413793103425,2.2937704918032784,-2.183470887507064
46.8,4.805543478260868,2.506086956521738,-2.2994565217391303
47.1,4.860978260869565,2.766956521739134,-2.094021739130431
47.4,4.9164130434782605,2.8162499999999997,-2.1001630434782608
47.699999999999996,4.9637931034482765,2.7037500000000017,-2.260043103448275
48.0,4.7878723404255314,2.557656250000003,-2.2302160904255284
48.3,4.7559574468085115,2.2435937500000063,-2.5123636968085052
48.6,4.570263157894736,1.9579999999999964,-2.6122631578947395
48.9,4.254,2.4979999999999913,-1.7560000000000082
49.199999999999996,4.014000000000001,2.82448717948718,-1.189512820512821
49.5,3.8148936170212804,2.782179487179487,-1.0327141298417932
49.8,4.188297872340424,2.739871794871795,-1.4484260774686293
50.1,4.561702127659576,2.410816326530608,-2.1508858011289678
50.4,4.93510638297872,2.063884297520661,-2.8712220854580592
50.699999999999996,4.933513513513514,2.1680165289256186,-2.7654969845878954
51.0,4.905135135135135,2.2721487603305786,-2.632986374804556
51.3,5.173684210526315,2.3762809917355363,-2.797403218790779
51.6,5.921369863013707,2.540909090909094,-3.380460772104613
51.9,7.228219178082181,3.25,-3.978219178082181
52.199999999999996,8.535068493150654,3.9590909090909063,-4.575977584059747
52.5,9.129142857142854,4.464375000000002,-4.664767857142852
52.8,9.506285714285712,4.526315789473696,-4.979969924812016
53.1,9.77043103448276,6.115111111111108,-3.6553199233716525
53.4,9.886810344827586,6.95486486486487,-2.9319454799627156
53.699999999999996,10.003189655172411,6.751538461538454,-3.2516511936339576
54.0,10.11956896551724,7.259230769230767,-2.860338196286474
54.3,10.09371794871795,7.802096774193543,-2.2916211745244075
54.6,9.959102564102563,8.34887096774194,-1.6102315963606237
54.9,9.824487179487178,8.754285714285713,-1.0702014652014658
55.199999999999996,9.285454545454513,9.131428571428565,-0.15402597402594864
55.5,9.949487179487182,10.205365853658536,0.25587867417135435
55.8,9.540512820512822,11.911428571428567,2.3709157509157457
56.1,10.87128205128207,13.07571428571429,2.20443223443222
56.4,11.432972972972975,13.75428571428571,2.3213127413127346
56.699999999999996,11.939729729729725,14.432857142857129,2.4931274131274037
57.0,12.018148148148148,14.84,2.821851851851852
57.3,11.60703703703704,14.84,3.2329629629629597
57.599999999999994,11.52187499999999,14.709375000000003,3.1875000000000124
57.9,10.87573770491803,14.49323943661972,3.61750173170169
58.199999999999996,10.433114754098362,13.990422535211277,3.5573077811129146
58.5,9.972222222222214,13.487605633802819,3.515383411580604
58.8,11.15470588235294,13.634893617021271,2.4801877346683305
59.099999999999994,11.198823529411763,14.107234042553182,2.908410513141419
59.4,11.242941176470588,14.579574468085106,3.3366332916145183
59.699999999999996,11.28705882352941,14.68266666666667,3.3956078431372596
