,SST Bayspar (°C) Low Mid LOESS,SST Bayspar (°C) High LOESS,SST Bayspar (°C) Gradient
0.0,25.427590795382002,7.260099111735252,18.16749168364675
0.2,25.17970683660127,7.021320102632169,
0.4,25.332102817090068,9.074583737383946,
0.6000000000000001,25.584838397690874,11.127847372135722,
0.8,25.359940902875593,13.1811110068875,
1.0,25.37178059715965,15.234374641639276,
1.2000000000000002,25.20269700786846,17.28763827639105,
1.4000000000000001,25.316843336490138,6.329818201455579,
1.6,26.44864268041924,6.192325638306991,
1.8,26.406339387700157,6.165351619023275,
2.0,27.05995876387831,6.058518072711113,
2.2,26.64779520159874,6.012265712950783,
2.4000000000000004,27.486217784317567,7.548929586349938,
2.6,28.038679857800147,7.638218087004035,
2.8000000000000003,28.31550142745323,8.067689998782736,
3.0,27.960483224954125,7.983809039042225,
3.2,28.525520470882103,7.357851990102904,
3.4000000000000004,28.70015971395724,7.477434565874415,
3.6,28.1234138021674,7.658335079338468,
3.8000000000000003,28.188968390529975,7.839235592802522,
4.0,28.372806014812333,8.020136106266577,
4.2,28.65161739175239,8.20103661973063,
4.4,28.55043823736402,8.24245980368536,
4.6000000000000005,28.510486802159363,8.565241003479558,19.945245798679807
4.800000000000001,28.803175014840576,9.016452533550165,19.78672248129041
5.0,29.073373976491233,9.062894395045918,20.010479581445317
5.2,28.94943437482131,9.3074380629812,19.64199631184011
5.4,29.35677901521554,9.965300734590205,19.391478280625336
5.6000000000000005,29.55767205404483,9.660963503926068,19.89670855011876
5.800000000000001,29.660390976296334,9.417775781362392,20.24261519493394
6.0,29.829555180972015,9.324563073896138,20.50499210707588
6.2,29.829074716453995,9.491132255548289,20.33794246090571
6.4,29.9570241597361,9.318082360126642,20.63894179960946
6.6000000000000005,30.068630530409038,9.044157231892989,21.02447329851605
6.800000000000001,30.013106201181742,9.16466803715457,20.848438164027172
7.0,30.178035246594284,8.607863860506432,21.57017138608785
7.2,30.0394882664581,8.597858502201156,21.441629764256945
7.4,29.91828531372392,9.092033420158,20.82625189356592
7.6000000000000005,29.720547657376173,8.90295313075553,20.817594526620645
7.800000000000001,29.527952958002665,9.111035303202906,20.41691765479976
8.0,29.479003980385727,9.033370959746719,20.445633020639008
8.200000000000001,29.22790500538726,9.365532436946262,19.862372568440996
8.4,29.422102556109287,9.618920967998832,19.803181588110455
8.6,29.380911795878326,9.977684442831222,19.403227353047104
8.8,29.05260404681529,10.673291429931322,18.37931261688397
9.0,29.432338442626513,11.067837721542626,18.364500721083886
9.200000000000001,29.92059312806827,11.758265099368982,18.162328028699285
9.4,30.20800936076875,12.790384578203248,17.4176247825655
9.600000000000001,30.333277413481788,12.742885643644815,17.590391769836973
9.8,29.730782023653617,13.276142081411049,16.45463994224257
10.0,29.47278239394199,14.182852009026549,15.289930384915442
10.200000000000001,28.688107641586978,14.403192031423648,14.28491561016333
10.4,28.47566994818203,14.453171877852213,14.022498070329817
10.600000000000001,28.14028834800328,14.903385151400183,13.236903196603098
10.8,28.78634484198424,15.365227400866884,13.421117441117355
11.0,29.339354558540368,15.367583465984834,13.971771092555533
11.200000000000001,29.624906817869487,16.039269946943513,13.585636870925974
11.4,29.88126116001994,15.303584649572146,14.577676510447793
11.600000000000001,30.372966813391926,15.654181993550795,14.718784819841131
11.8,29.98062772134785,16.029684150946238,13.950943570401613
12.0,29.571226834772247,17.066554080262918,12.504672754509329
12.200000000000001,29.008459693796347,18.099198545575984,10.909261148220363
12.4,29.284164587678383,18.292964395729093,10.99120019194929
12.600000000000001,29.081675466786017,19.128746774970402,9.952928691815615
12.8,29.92209061323907,19.192253080999507,10.729837532239564
13.0,29.772037706736796,18.733493268708195,11.038544438028602
13.200000000000001,30.681364627070394,19.738156328339933,10.943208298730461
13.4,31.155115497770872,19.448637843004338,11.706477654766534
13.600000000000001,31.239465302087936,19.437686522381778,11.801778779706158
13.8,31.188839153666216,19.092956994746633,12.095882158919583
14.0,31.51751880527388,22.928711994112767,8.588806811161113
14.200000000000001,31.706622234608396,23.470880355933403,8.235741878674993
14.4,31.54664738086168,23.635197099841385,7.911450281020294
14.600000000000001,31.38688981848935,23.83520600532955,7.551683813159801
14.8,31.286643208724506,25.491404814896065,5.795238393828441
15.0,30.766664351671416,25.113572232726963,5.653092118944453
15.200000000000001,30.615836454077588,24.901073589091958,5.71476286498563
15.4,30.578466129921793,23.45001870414126,7.128447425780532
15.600000000000001,30.425189524185157,22.999184692097884,7.426004832087273
15.8,30.29821785183909,22.538226628069093,7.7599912237699975
16.0,30.485727604447725,22.405021245351726,8.080706359095998
16.2,30.413956449838004,22.08448718352997,8.329469266308035
16.400000000000002,30.98759483264402,22.235319006077614,8.752275826566407
16.6,30.901490344004387,21.310685852003566,9.59080449200082
16.8,30.64381797221283,21.707965969143363,8.935852003069467
17.0,30.777494723852143,21.91893754132766,8.858557182524482
17.2,30.782464366913715,21.873454438673427,8.909009928240287
17.400000000000002,30.98645586098023,24.03282663317989,6.953629227800338
17.6,30.56819722501615,24.826214482176457,
17.8,29.940653039190806,26.426690186351415,
18.0,29.56346025375381,27.48948792214507,
18.2,29.37026395767809,27.95311977478337,
18.400000000000002,28.97342225046198,26.91561372762639,
18.6,28.79549073059531,26.10291822331513,
18.8,28.511116744403914,25.682083499430203,
19.0,28.652482812186783,26.068281491798793,
19.200000000000003,28.648656352909665,26.361597867860258,
19.400000000000002,28.72588720121167,26.713153243153677,
19.6,28.88944965025143,26.472320528306263,
19.8,28.564846344964565,24.47366280245196,
20.0,28.61576011915838,25.126539422829502,
20.200000000000003,28.255010966578418,24.542746204921027,
20.400000000000002,28.090782710728778,24.741029535678525,
20.6,27.566808102996923,24.959813297733497,
20.8,27.717317841230138,25.021061464988733,
21.0,27.649170428181513,24.069435051983742,
21.200000000000003,28.03481668011591,22.851016722311623,
21.400000000000002,28.004079821206307,21.950469619581824,
21.6,27.591360881809276,20.63974566128441,
21.8,27.87826937562862,21.057583248924416,
22.0,28.093022134086233,21.572202240048505,
22.200000000000003,27.890262713482144,20.276903735310164,
22.400000000000002,28.44646250557093,17.212400284634356,
22.6,28.80891429532781,16.525856890961705,12.283057404366104
22.8,28.518777748038627,14.795539641714445,13.723238106324182
23.0,28.51119271923352,15.624321378325215,12.886871340908305
23.200000000000003,28.0877056285041,16.190981383253874,11.896724245250226
23.400000000000002,28.238360612593063,17.79389371993243,10.444466892660632
23.6,28.149544431555373,17.5793309351323,10.570213496423072
23.8,28.539113145573673,17.600116156816835,10.938996988756838
24.0,28.689386330800794,17.01649196563305,11.672894365167743
24.200000000000003,28.848753796399173,16.75710734032604,12.091646456073132
24.400000000000002,29.162927757574387,16.791559703382063,12.371368054192324
24.6,29.394651573260674,18.0258352628189,11.368816310441773
24.8,29.41682352018188,17.647932227270626,11.768891292911253
25.0,29.479858651654574,18.116658888228553,11.363199763426021
25.200000000000003,29.73695392357871,18.453202255469236,11.283751668109474
25.400000000000002,29.651646644126565,18.27090945835016,11.380737185776404
25.6,29.343562339420394,18.802056446721714,10.54150589269868
25.8,29.28222680756307,18.947226970942076,10.334999836620995
26.0,29.272205837235063,19.0189397157987,10.253266121436361
26.200000000000003,28.959823816404544,19.096104131595613,9.863719684808931
26.400000000000002,29.00418979681877,19.06572851938918,9.938461277429592
26.6,28.98408949905375,19.055613436019325,9.928476063034424
26.8,28.97570667650757,19.247730378180904,9.727976298326666
27.0,28.802798782776378,19.558300712563163,9.244498070213215
27.200000000000003,28.709559261528938,19.507509686216896,9.202049575312042
27.400000000000002,28.705486621757927,19.68435803373207,9.021128588025856
27.6,28.71504975346242,19.72248875854194,8.992560994920481
27.8,28.55126291675146,19.844570004156466,8.706692912594995
28.0,28.577877948534145,19.966651249771,8.611226698763144
28.200000000000003,28.498274708228216,19.649926474967796,8.84834823326042
28.400000000000002,28.45681044597884,19.535257153236973,8.921553292741866
28.6,28.536604231485757,19.65885378593847,8.877750445547289
28.8,28.76310930452742,19.662946426792775,9.100162877734643
29.0,28.988117765860817,19.79560942833789,9.192508337522927
29.200000000000003,29.232435924048993,19.931004227868563,9.30143169618043
