Age (Ma),SST Bayspar (°C)
0.00079,5.51255481935131
0.00196,6.49112247698631
0.00313,6.71983558779397
0.0043,7.57892344702839
0.00577,7.17312965745726
0.00724,7.44365031786976
0.00871,8.32881778266662
0.01018,6.66339852518746
0.01141,7.27131474225763
0.01265,5.87307706555577
0.01388,5.72564133555396
0.01512,5.4517619029388
0.01635,6.86784620520887
0.01753,5.26348294892483
0.01872,3.99762400387311
0.019899999999999998,4.54289776645594
0.021079999999999998,5.27599884956052
0.022269999999999998,4.82540367425263
0.02345,7.7251305500241
0.02463,4.42366329448142
0.02582,5.49707011422143
0.027,5.14763211434647
0.02818,11.2554849377568
0.02937,5.31516942261849
0.03055,4.91672239547792
0.03173,5.30608761075076
0.032920000000000005,6.68262730173816
0.0341,6.11961491728364
0.03547,5.64794822667644
0.03685,1.87184489985639
0.03822,5.66167662061918
0.03959,5.16971903414348
0.04097,3.01898606384808
0.04234,4.78882691379057
0.04372,2.72348709916189
0.045090000000000005,2.2957188622169
0.04646,4.53249756020411
0.04784,4.71260075903703
0.049210000000000004,4.11394964676224
0.05058,2.90630249290321
0.05196,3.7385644778504
0.053329999999999995,4.12833779028362
0.05482,4.1906584776492
0.05631,4.36416115729911
0.05781,3.87658384975435
0.0593,5.26585059920427
0.06079,3.87457577739852
0.06228,5.90315212350662
0.06378,5.12552777616368
0.06527,4.80713585103943
0.06676,5.1365191522559
0.06765,5.51302138989606
0.06854,4.02125119642054
0.06942,4.10113653917458
0.07031,4.02494767071838
0.0712,7.68103602288928
0.07209,3.64760084045101
0.07297,4.35948725809526
0.07386,4.84105659432538
0.07475,6.84930749734456
0.07564,4.14178164430123
0.07653,4.2893740663928
0.0783,7.05916503910411
0.08008,4.88423167185277
0.08095999999999999,3.9719065814604
0.08184999999999999,5.51546606022348
0.08274,4.00729098375262
0.08337,6.52559645808544
0.08401,5.24471346581829
0.08464,5.26000549386779
0.08528,6.44623703479137
0.08591,6.42774738719543
0.08655,4.49700876481152
0.08718000000000001,5.3640034776113
0.08968999999999999,4.35198084359786
0.0922,4.42833867135281
0.09470999999999999,3.05110902503841
0.0975,5.55163344264448
0.10037,5.51441786572761
0.10323,4.26467080904918
0.10463,6.80377647575139
0.10603,4.61804800693693
0.10743000000000001,6.01324141962439
0.10883,4.48443297700859
0.11055,6.00137251290995
0.11227,6.20119568156247
0.11399,9.74962989551289
0.11571,5.55462789830455
0.11875,
0.11938,
0.11957999999999999,
0.12,
0.12065000000000001,
0.12099,
0.12111,7.29384793066937
0.122,
0.12301000000000001,
0.12395999999999999,
0.12448000000000001,
0.12534,
0.12567,
0.12591,
0.12651,7.25974567737293
0.127,
0.12716,
0.1276,
0.12795,
0.12861,8.64376933125827
0.12874000000000002,
0.12988,
0.13044999999999998,
0.13065000000000002,10.1124694762193
0.13113999999999998,
0.13158,
0.13207,
0.13237000000000002,
0.13257,
0.13286,
0.13297,6.16949925823941
0.13297,
0.13318000000000002,
0.13331,
0.13338999999999998,
0.13352,
0.13356,
0.13366,
0.13404,
0.13415000000000002,
0.13429,
0.13466999999999998,
0.13491999999999998,
0.1352,
0.13528,
0.13541,
0.13568,
0.13595,3.1403402257609
0.13641,
0.13702,
0.13751,
0.13825,
0.13855,
0.13886,
0.13893,6.42346631283742
0.13935,
0.13978,
0.14008,
0.14191,5.13648785193308
0.14786000000000002,4.9100358054271
2.33428421052631,7.21076411129811
2.54375789473684,5.61354489544639
2.70337684210526,5.5184922143091
3.73775789473684,6.4293450635696
3.77630105263157,4.63029939285767
4.3526819085487,11.966830710819
4.47870576540755,12.2187629855729
4.72907316103379,10.3463461779371
4.98112087475149,6.84989100866639
5.15083300198807,11.6813829190485
5.40204055666004,12.1673859747341
5.52722425447316,8.70671075044597
5.77927196819085,9.258598390155
5.90697614314115,7.92582511006036
6.0392017699115,10.6543212704858
6.0976017699115,8.05805406338833
6.13649203539823,10.7412396950639
6.18145486725663,9.22949271322759
6.22486725663716,6.81646394177434
6.28475939306358,10.9926772732466
6.37835765895953,6.93289270960202
6.42515679190751,9.90337709325986
6.51875505780346,8.0953093678483
6.62795303468208,4.42198394714379
6.72155130057803,12.5754487987612
6.7677264450867,9.33564731254396
6.92091560693641,13.4519590031489
7.01794580924855,9.06164371517514
7.17394291907514,9.20951568468956
7.36113945086705,8.86761346238036
7.43913800578034,3.53052631424708
7.65722196531791,11.8215193628538
7.76673193641618,10.840251126852
7.86033020231214,9.58479235405257
7.95392846820809,0.819443033511168
8.0631264450867,10.1606553003934
8.15672471098266,7.6955322088055
8.34392124277456,8.74580332285643
8.35608901734104,13.118362874895
8.35920895953757,13.5892151621904
8.54640549132947,5.28117318647373
8.64031575144508,11.7439389791894
8.65591546242774,3.18839850827589
8.79631286127167,9.01390836116405
8.88991112716763,12.9137017543405
8.95293395953757,13.5696515785283
9.04528424855491,12.9548610918441
9.38910187861271,11.7017196495737
9.43590101156069,12.4238213231189
9.52762731213873,11.2588257809197
9.84149349710982,14.528082821841
10.1222882947976,13.8514942865886
10.1846871387283,15.6476570699045
10.2782854046242,13.6990349677718
10.3718836705202,14.7964148569321
10.4286666184971,14.6616987788574
10.4336585260115,24.240926727021
10.5278807803468,16.494085584636
10.5814049586776,14.9841589303999
10.67,13.0308076873507
10.81,16.3362709877345
10.85,11.8569461070468
11.0756198347107,16.1453919002136
11.3037190082644,12.8311294203944
11.4991239669421,14.4833474631059
11.613173553719,13.1286411981997
11.759,21.6222396695125
11.7979338842975,13.0129537562651
11.813,16.6546010111398
11.867,15.6161769234422
11.921,14.2650782700355
