,SST Bayspar (°C) Low Mid LOESS,SST Bayspar (°C) High LOESS,SST Bayspar (°C) Gradient
0.0,25.790660741197684,7.332079868887887,18.458580872309795
0.2,25.092078718268397,4.95063964081111,
0.4,25.368311317654324,0.8973579661316173,
0.6000000000000001,25.61631854099373,-3.155923708547877,
0.8,25.47469086392126,-7.209205383227367,
1.0,25.235221146666618,-11.26248705790686,
1.2000000000000002,24.94996209120786,-15.315768732586355,
1.4000000000000001,25.14380616725599,6.898169794082682,
1.6,26.4807120231158,6.959482256908899,
1.8,26.22144229145561,7.020794719735117,
2.0,27.004540605706712,7.082107182561335,
2.2,26.594738559655035,7.143419645387553,
2.4000000000000004,27.50173853828955,9.05203913814534,
2.6,27.964594132242034,8.050073777648745,
2.8000000000000003,28.226030166836345,8.697830487068284,
3.0,27.775060145901364,8.469527438216645,
3.2,28.458476256730236,8.020144744227935,
3.4000000000000004,28.701481262667116,8.187659565807227,
3.6,27.48138765538284,8.333722398087748,
3.8000000000000003,27.788874564471016,8.186325743257953,
4.0,27.950086988582957,9.435024720238049,
4.2,28.574212404922285,9.4445468432164,
4.4,28.87934998377194,9.45406896619475,
4.6000000000000005,28.89943435329438,9.463591089173102,19.43584326412128
4.800000000000001,29.048899123880258,9.473113212151455,19.5757859117288
5.0,29.29650191236457,9.482635335129807,19.813866577234762
5.2,29.45639464676082,9.492157458108158,19.96423718865266
5.4,29.7884653799478,10.10769805992393,19.68076732002387
5.6000000000000005,29.990567409670085,9.973478477149623,20.017088932520462
5.800000000000001,30.063564386384222,9.839258894375314,20.22430549200891
6.0,30.18917633116382,9.705039311601007,20.484137019562816
6.2,30.245140463865802,9.5708197288267,20.674320735039103
6.4,30.463519647718137,9.436600146052394,21.026919501665745
6.6000000000000005,30.71450337335535,9.302380563278085,21.412122810077264
6.800000000000001,30.76167671645846,9.234121630045811,21.527555086412647
7.0,31.033492325757663,9.702839763534525,21.330652562223136
7.2,30.799858897260115,9.66549448568012,21.134364411579995
7.4,30.474089163151703,9.628149207825718,20.845939955325985
7.6000000000000005,30.314196721387482,10.183772206158926,20.130424515228555
7.800000000000001,30.267327381452496,10.401820883068753,19.865506498383745
8.0,30.278782459914538,10.659818337071124,19.618964122843416
8.200000000000001,29.949412436408693,10.953132666938188,18.996279769470505
8.4,29.798254992794426,10.866678028421987,18.93157696437244
8.6,29.493074231229237,10.457226506701932,19.035847724527304
